FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA,DOSIS_3
23FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,27,9,,0
23FEB2021:00:00:00,61 a 70,M,Sputnik,Público,161,245,,0
23FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,8,19,,0
23FEB2021:00:00:00,71 a 80,F,AstraZeneca,Privado,1,0,,0
23FEB2021:00:00:00,71 a 80,F,AstraZeneca,Público,413,0,,0
23FEB2021:00:00:00,71 a 80,F,Sputnik,Privado,1,0,,0
23FEB2021:00:00:00,71 a 80,F,Sputnik,Público,50,29,,0
23FEB2021:00:00:00,71 a 80,M,AstraZeneca,Público,257,0,,0
25FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,230,14,,0
25FEB2021:00:00:00,41 a 50,F,Sputnik,Público,361,241,,0
25FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,22,13,,0
25FEB2021:00:00:00,41 a 50,M,AstraZeneca,Privado,2,0,,0
25FEB2021:00:00:00,41 a 50,M,AstraZeneca,Público,8,0,,0
25FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,144,12,,0
25FEB2021:00:00:00,41 a 50,M,Sputnik,Público,203,105,,0
25FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,11,10,,0
25FEB2021:00:00:00,51 a 60,F,AstraZeneca,Público,8,0,,0
25FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,146,13,,0
25FEB2021:00:00:00,51 a 60,F,Sputnik,Público,329,239,,1
25FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,31,20,,0
25FEB2021:00:00:00,51 a 60,M,AstraZeneca,Público,5,0,,0
25FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,74,12,,0
25FEB2021:00:00:00,51 a 60,M,Sputnik,Público,163,93,,0
25FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,18,7,,0
25FEB2021:00:00:00,61 a 70,F,AstraZeneca,Privado,2,0,,0
25FEB2021:00:00:00,61 a 70,F,AstraZeneca,Público,7,0,,0
25FEB2021:00:00:00,61 a 70,F,Sputnik,Privado,44,3,,0
25FEB2021:00:00:00,61 a 70,F,Sputnik,Público,183,240,,0
25FEB2021:00:00:00,61 a 70,F,Sputnik,Público nacional,5,9,,0
25FEB2021:00:00:00,61 a 70,M,AstraZeneca,Público,4,0,,0
25FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,37,4,,0
25FEB2021:00:00:00,61 a 70,M,Sputnik,Público,129,156,,0
25FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,8,8,,0
25FEB2021:00:00:00,71 a 80,F,AstraZeneca,Privado,70,0,,0
25FEB2021:00:00:00,71 a 80,F,AstraZeneca,Público,434,0,,0
25FEB2021:00:00:00,71 a 80,F,Sputnik,Privado,6,0,,0
25FEB2021:00:00:00,71 a 80,F,Sputnik,Público,31,32,,0
25FEB2021:00:00:00,71 a 80,M,AstraZeneca,Privado,39,0,,0
25FEB2021:00:00:00,71 a 80,M,AstraZeneca,Público,233,0,,0
25FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,2,0,,0
25FEB2021:00:00:00,71 a 80,M,Sputnik,Público,23,34,,0
25FEB2021:00:00:00,71 a 80,M,Sputnik,Público nacional,4,0,,0
25FEB2021:00:00:00,81 a 90,F,AstraZeneca,Privado,290,0,,0
25FEB2021:00:00:00,81 a 90,F,AstraZeneca,Público,2363,0,,0
25FEB2021:00:00:00,81 a 90,F,Sputnik,Público,6,3,,0
25FEB2021:00:00:00,81 a 90,M,AstraZeneca,Privado,184,0,,0
25FEB2021:00:00:00,81 a 90,M,AstraZeneca,Público,1331,0,,0
25FEB2021:00:00:00,81 a 90,M,Sputnik,Privado,2,0,,0
25FEB2021:00:00:00,81 a 90,M,Sputnik,Público,10,4,,0
25FEB2021:00:00:00,91 o mas,F,AstraZeneca,Privado,38,0,,0
25FEB2021:00:00:00,91 o mas,F,AstraZeneca,Público,474,0,,0
25FEB2021:00:00:00,91 o mas,M,AstraZeneca,Privado,35,0,,0
25FEB2021:00:00:00,91 o mas,M,AstraZeneca,Público,167,0,,0
25FEB2021:00:00:00,91 o mas,M,Sputnik,Público,1,1,,0
26FEB2021:00:00:00,30 o menos,F,AstraZeneca,Privado,1,0,,0
26FEB2021:00:00:00,30 o menos,F,AstraZeneca,Público,22,0,,0
26FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,110,54,,0
26FEB2021:00:00:00,30 o menos,F,Sputnik,Público,228,113,,0
26FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,20,15,,0
26FEB2021:00:00:00,30 o menos,M,AstraZeneca,Privado,1,0,,0
26FEB2021:00:00:00,30 o menos,M,AstraZeneca,Público,4,0,,0
26FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,62,39,,0
26FEB2021:00:00:00,30 o menos,M,Sputnik,Público,90,40,,0
26FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,9,6,,0
26FEB2021:00:00:00,31 a 40,F,AstraZeneca,Privado,2,0,,0
26FEB2021:00:00:00,31 a 40,F,AstraZeneca,Público,29,0,,0
26FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,263,103,,0
26FEB2021:00:00:00,31 a 40,F,Sputnik,Público,400,264,,0
26FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,23,36,,0
26FEB2021:00:00:00,31 a 40,M,AstraZeneca,Privado,1,0,,0
26FEB2021:00:00:00,31 a 40,M,AstraZeneca,Público,6,0,,0
26FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,138,68,,0
26FEB2021:00:00:00,31 a 40,M,Sputnik,Público,183,121,,0
26FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,18,10,,0
26FEB2021:00:00:00,41 a 50,F,AstraZeneca,Privado,1,0,,0
26FEB2021:00:00:00,41 a 50,F,AstraZeneca,Público,15,0,,0
26FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,225,77,,0
26FEB2021:00:00:00,41 a 50,F,Sputnik,Público,321,274,,0
26FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,21,22,,0
26FEB2021:00:00:00,41 a 50,M,AstraZeneca,Público,8,0,,0
26FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,86,38,,0
26FEB2021:00:00:00,41 a 50,M,Sputnik,Público,132,90,,0
26FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,13,13,,0
26FEB2021:00:00:00,51 a 60,F,AstraZeneca,Privado,1,0,,0
26FEB2021:00:00:00,51 a 60,F,AstraZeneca,Público,8,0,,0
26FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,116,59,,0
26FEB2021:00:00:00,51 a 60,F,Sputnik,Público,304,294,,0
26FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,40,36,,0
26FEB2021:00:00:00,51 a 60,M,AstraZeneca,Público,5,0,,0
26FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,74,23,,0
26FEB2021:00:00:00,51 a 60,M,Sputnik,Público,130,133,,0
26FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,8,23,,0
26FEB2021:00:00:00,61 a 70,F,AstraZeneca,Público,21,0,,0
